name,genre,prefecture,city,area,address,taste,scenes,features,url
讃岐うどん 白庵,うどん・そば,大阪府,大阪市,新大阪・十三,大阪府大阪市淀川区新高6-12-7 三和マンション 1F,0,,,https://tabelog.com/osaka/A2701/A270302/27014852/
踊るうどん 滝井本店,うどん・そば,大阪府,守口市,守口市,大阪府守口市紅屋町6-7,0,,まいたけの天ぷらが美味,https://s.tabelog.com/osaka/A2707/A270701/27004023/
すじかま,うどん・そば,兵庫県,西宮市,西宮市,兵庫県西宮市山口町船坂北山コイツカ2178-23,0,,,https://tabelog.com/hyogo/A2803/A280301/28002185/
いずみカリー 神戸元町店,カレー,兵庫県,神戸市,中央区,兵庫県神戸市中央区北長狭通3-30-76,5,,チーズが合う,https://tabelog.com/hyogo/A2801/A280101/28047150/
必死のパッチ製麺所,ラーメン,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区難波3-4-16 アーク難波ビル5F,4,,つけめん、あごだし,https://tabelog.com/hyogo/A2803/A280306/28035199/
だしと麺,ラーメン,兵庫県,西宮市,西宮市,兵庫県西宮市山口町上山口2丁目7-10,4,,つけめん、あごだし、必死のパッチ姉妹店,https://tabelog.com/hyogo/A2803/A280301/28043116/
島田製麺食堂,ラーメン,大阪府,豊中市,豊中市,大阪府豊中市宝山町23-11,4,,つけめん、あごだし、必死のパッチ姉妹店,https://tabelog.com/osaka/A2706/A270601/27054203/
荒波屋,ラーメン,兵庫県,三田市,三田市,兵庫県三田市駅前町4-27,4,,つけめん、あごだし、必死のパッチ姉妹店、2店舗ある,https://tabelog.com/hyogo/A2807/A280703/28054010/
吉岡マグロ節センター,ラーメン,大阪府,豊中市,豊中市,大阪府豊中市蛍池東町2-3-24,4,,つけめん、あごだし、必死のパッチ姉妹店,https://tabelog.com/osaka/A2706/A270601/27096948/
らーめん弥七,ラーメン,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区豊崎3-4-8,4,,つけめん美味い,https://tabelog.com/osaka/A2701/A270101/27003232/
麺dining月乃家,ラーメン,和歌山県,有田郡,有田郡,和歌山県有田郡有田川町大字天満428-1,4,,特濃が美味い、しらす丼も美味い,https://tabelog.com/wakayama/A3002/A300202/30003817/
大黒ラーメン 本店,ラーメン,京都府,京都市,伏見区,京都府京都市伏見区京町大黒町118,0,,安い　おやつにも,https://tabelog.com/kyoto/A2601/A260601/26003217/
紫川ラーメン,ラーメン,兵庫県,加東市,加東市,兵庫県加東市下滝野１丁目１０５−１,0,,美味い、甘め,https://tabelog.com/hyogo/A2804/A280403/28011421/
鶏 soba 座銀 本店,ラーメン,大阪府,大阪市,堀江・南船場,大阪府大阪市西区江戸堀1-19-2,0,,美味い,https://tabelog.com/osaka/A2701/A270102/27079112/
wad omotenashi cafe,カフェ・スイーツ,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区南船場4-9-3 東進ビル 2F,0,,食べログ百名店、かき氷,https://tabelog.com/osaka/A2701/A270201/27088707/
カファレル 神戸北野本,カフェ・スイーツ,兵庫県,神戸市,中央区,兵庫県神戸市中央区山本通3-7-29 神戸トアロードビル　1F,0,デート,スイーツ食べログ百名店,https://tabelog.com/hyogo/A2801/A280101/28002143/
居酒屋五感 神戸三宮,居酒屋・ダイニングバー,兵庫県,神戸市,中央区,兵庫県神戸市中央区北長狭通2-8-9 神戸17番ビル 1F,0,デート,,https://tabelog.com/hyogo/A2801/A280101/28060447/
